2015-03-08 10:54:45,250 INFO  [main] eu.plumbr.agent.bVX - Extracting libs
2015-03-08 10:54:45,841 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 10:54:45,841 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 10:55:48,721 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 10:55:49,315 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 10:55:49,315 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 10:56:21,676 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 10:56:22,267 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 10:56:22,267 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 10:56:44,813 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 10:56:45,418 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 10:56:45,418 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 10:57:29,995 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 10:57:30,610 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 10:57:30,610 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 10:57:30,698 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 10:57:31,885 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 10:57:31,966 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 10:57:31,967 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 10:57:31,981 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191E3wqjUYUc-0jSNRUNeT8IEUJ-BQ= started
2015-03-08 10:57:31,991 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 10:57:32,983 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 10:57:33,009 INFO  [Plumbr thread - 5] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 37407
2015-03-08 10:57:41,983 INFO  [Plumbr thread - 4] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 10:58:52,057 INFO  [Plumbr thread - 4] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:00:02,066 INFO  [Plumbr thread - 4] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:01:12,076 INFO  [Plumbr thread - 20] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:02:22,087 INFO  [Plumbr thread - 18] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:03:22,275 INFO  [Plumbr thread - 24] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:04:32,286 INFO  [Plumbr thread - 24] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:05:52,298 INFO  [Plumbr thread - 29] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:08:33,839 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 11:08:34,517 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 11:08:34,518 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 11:08:34,594 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
